,specie,specieCode,genus,organismCode,antibiotic,antibioticCode,gram,resistance
89,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,temocillin,ATEM,,0.7021276595739999
90,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,tetracycline,ATET,,0.0
91,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,tigecycline,ATIG,,0.0
92,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,tobramycin,ATOB,,0.0
93,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,trimethoprim,ATRI,,0.967741935484
94,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,cefpodoxime,A_CEFPODOX,,0.75
95,acinetobacter,A_ACINETOBACTER,acinetobacter sp.,ACINE,timentin,A_TIMENTIN,,0.5
96,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,amikacin,AAMI,,0.0
97,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,amoxycillin,AAMO,,0.0
98,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,amp c markers,AAMPC,,1.0
99,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,augmentin,AAUG,,0.0
100,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,ceftazidime,ACAZ,,0.416666666667
101,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,cephalexin,ACELX,,0.0243902439024
102,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,ciprofloxacin,ACIP,,0.04
103,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,colistin sulphate,ACOL,,0.0
104,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,cotrimoxazole,ACOT,,0.0
105,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,cefotaxime,ACTX,,0.416666666667
106,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,cefoxitin,ACXT,,0.5
107,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,ertapenem,AERT,,0.6
108,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,esbl markers,AESBL,,0.666666666667
109,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,gentamicin,AGEN,,0.0
110,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,mecillinam,AMEC,,0.111111111111
111,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,meropenem,AMER,,0.0
112,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,flucloxacillin,AMET,,1.0
113,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,nitrofurantoin,ANIT,,0.860465116279
114,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,tazocin,ATAZ,,0.0
115,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,temocillin,ATEM,,0.0
116,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,trimethoprim,ATRI,,0.9545454545450001
117,acinetobacter,A_ACINETOBACTER,acinetobacter lwoffi,ALWO,vancomycin,AVAN,,0.0
118,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,augmentin,AAUG,,0.0
119,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,cephalexin,ACELX,,0.0
120,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,ciprofloxacin,ACIP,,0.0
121,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,clindamycin,ACLI,,1.0
122,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,erythromycin,AERY,,1.0
123,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,fusidic acid,AFUS,,1.0
124,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,gentamicin,AGEN,,0.0
125,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,flucloxacillin,AMET,,1.0
126,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,nitrofurantoin,ANIT,,1.0
127,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,penicillin,APEN,,1.0
128,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,tetracycline,ATET,,0.0
129,acinetobacter,A_ACINETOBACTER,acinetobacter radioresistens,A_ARADIORES,trimethoprim,ATRI,,1.0
130,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,amoxycillin,AAMO,,0.0
131,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,augmentin,AAUG,,0.0
132,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,cephalexin,ACELX,,0.0
133,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,clindamycin,ACLI,,0.0
134,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,cefoxitin,ACXT,,0.0
135,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,erythromycin,AERY,,0.0
136,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,linezolid,ALIN,,0.0
137,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,mls markers,AMLS,,1.0
138,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,nitrofurantoin,ANIT,,0.0
139,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,penicillin,APEN,,0.0
140,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,rifampicin,ARIF,,0.0
141,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,teicoplanin,ATEI,,0.0
142,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,tetracycline,ATET,,0.0
143,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,trimethoprim,ATRI,,1.0
144,aerococcus,A_AEROCOCCUS,aerococcus sp.,AEROC,vancomycin,AVAN,,0.0
145,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,amoxycillin,AAMO,,0.0
146,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,cephalexin,ACELX,,0.0
147,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,ciprofloxacin,ACIP,,0.5
148,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,clindamycin,ACLI,,0.0
149,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,erythromycin,AERY,,0.0
150,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,gentamicin,AGEN,,0.33333333333299997
151,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,nitrofurantoin,ANIT,,0.0
152,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,penicillin,APEN,,0.0
153,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,tetracycline,ATET,,0.0
154,aerococcus,A_AEROCOCCUS,aerococcus urinae,AERU,trimethoprim,ATRI,,1.0
155,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,augmentin,AAUG,,0.0
156,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,cephalexin,ACELX,,0.0
157,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,clindamycin,ACLI,,0.0
158,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,erythromycin,AERY,,0.0
159,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,nitrofurantoin,ANIT,,1.0
160,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,penicillin,APEN,,0.0
161,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,teicoplanin,ATEI,,0.0
162,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,trimethoprim,ATRI,,0.0
163,aerococcus,A_AEROCOCCUS,aerococcus viridans,AVIR,vancomycin,AVAN,,0.0
164,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,amikacin,AAMI,,0.0
165,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,amp c markers,AAMPC,,0.0
166,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,augmentin,AAUG,,0.8
167,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,ceftazidime,ACAZ,,0.0
168,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,cephalexin,ACELX,,1.0
169,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,ciprofloxacin,ACIP,,0.0
170,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,colistin sulphate,ACOL,,0.0
171,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,cefotaxime,ACTX,,0.0
172,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,cefoxitin,ACXT,,0.6
173,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,ertapenem,AERT,,0.2
174,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,esbl markers,AESBL,,1.0
175,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,gentamicin,AGEN,,0.0
176,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,mecillinam,AMEC,,0.0
177,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,meropenem,AMER,,0.0
178,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,nitrofurantoin,ANIT,,0.0
179,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,tazocin,ATAZ,,0.0
180,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,temocillin,ATEM,,0.0
181,aeromonas,A_AEROMONAS,aeromonas sp.,AEROM,trimethoprim,ATRI,,0.0
182,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,amikacin,AAMI,,0.0
183,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,amp c markers,AAMPC,,0.0
184,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,augmentin,AAUG,,1.0
185,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,ceftazidime,ACAZ,,0.0
186,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,cephalexin,ACELX,,1.0
187,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,ciprofloxacin,ACIP,,0.0
188,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,colistin sulphate,ACOL,,0.0
189,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,cefotaxime,ACTX,,0.0
190,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,cefoxitin,ACXT,,1.0
191,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,ertapenem,AERT,,1.0
192,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,esbl markers,AESBL,,1.0
193,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,gentamicin,AGEN,,0.0
194,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,mecillinam,AMEC,,0.0
195,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,meropenem,AMER,,0.0
196,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,nitrofurantoin,ANIT,,0.0
197,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,tazocin,ATAZ,,0.0
198,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,temocillin,ATEM,,0.0
199,aeromonas,A_AEROMONAS,aeromonas hydrophila,AHYD,trimethoprim,ATRI,,0.666666666667
200,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,amikacin,AAMI,,0.0
201,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,augmentin,AAUG,,0.0
202,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,aztreonam,AAZT,,1.0
203,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,ceftazidime,ACAZ,,0.33333333333299997
204,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,cephalexin,ACELX,,0.0
205,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,ciprofloxacin,ACIP,,1.0
206,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,colistin sulphate,ACOL,,0.0
207,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,cefotaxime,ACTX,,1.0
208,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,cefoxitin,ACXT,,0.0
209,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,ertapenem,AERT,,0.0
210,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,gentamicin,AGEN,,0.0
211,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,imipenem,AIMP,,0.0
212,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,mecillinam,AMEC,,1.0
213,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,meropenem,AMER,,0.0
214,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,nitrofurantoin,ANIT,,0.8
215,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,tazocin,ATAZ,,0.0
216,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,temocillin,ATEM,,1.0
217,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,tobramycin,ATOB,,0.0
218,alcaligenes,A_ALCALIGENES,alcaligenes faecalis,AFAE,trimethoprim,ATRI,,1.0
219,bacillus,A_BACILLUS,bacillus sp.,BACIL,amoxycillin,AAMO,p,0.0
220,bacillus,A_BACILLUS,bacillus sp.,BACIL,augmentin,AAUG,p,0.0
221,bacillus,A_BACILLUS,bacillus sp.,BACIL,cephalexin,ACELX,p,0.0
222,bacillus,A_BACILLUS,bacillus sp.,BACIL,ciprofloxacin,ACIP,p,0.0
223,bacillus,A_BACILLUS,bacillus sp.,BACIL,clindamycin,ACLI,p,0.25
224,bacillus,A_BACILLUS,bacillus sp.,BACIL,erythromycin,AERY,p,0.5
225,bacillus,A_BACILLUS,bacillus sp.,BACIL,fusidic acid,AFUS,p,1.0
226,bacillus,A_BACILLUS,bacillus sp.,BACIL,gentamicin,AGEN,p,0.0
227,bacillus,A_BACILLUS,bacillus sp.,BACIL,flucloxacillin,AMET,p,1.0
228,bacillus,A_BACILLUS,bacillus sp.,BACIL,nitrofurantoin,ANIT,p,0.0
229,bacillus,A_BACILLUS,bacillus sp.,BACIL,penicillin,APEN,p,1.0
230,bacillus,A_BACILLUS,bacillus sp.,BACIL,tetracycline,ATET,p,0.0
231,bacillus,A_BACILLUS,bacillus sp.,BACIL,trimethoprim,ATRI,p,1.0
232,bacillus,A_BACILLUS,bacillus cereus,BCER,ciprofloxacin,ACIP,p,0.0
233,bacillus,A_BACILLUS,bacillus cereus,BCER,clindamycin,ACLI,p,0.0
234,bacillus,A_BACILLUS,bacillus cereus,BCER,erythromycin,AERY,p,0.0
235,bacillus,A_BACILLUS,bacillus cereus,BCER,fusidic acid,AFUS,p,1.0
236,bacillus,A_BACILLUS,bacillus cereus,BCER,gentamicin,AGEN,p,0.0
237,bacillus,A_BACILLUS,bacillus cereus,BCER,flucloxacillin,AMET,p,1.0
238,bacillus,A_BACILLUS,bacillus cereus,BCER,mupirocin,AMUP,p,0.5
239,bacillus,A_BACILLUS,bacillus cereus,BCER,penicillin,APEN,p,1.0
240,bacillus,A_BACILLUS,bacillus cereus,BCER,rifampicin,ARIF,p,1.0
241,bacillus,A_BACILLUS,bacillus cereus,BCER,tetracycline,ATET,p,0.75
242,bacillus,A_BACILLUS,bacillus cereus,BCER,trimethoprim,ATRI,p,1.0
243,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,amikacin,AAMI,n,0.6
244,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,augmentin,AAUG,n,1.0
245,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,aztreonam,AAZT,n,0.666666666667
246,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,ceftazidime,ACAZ,n,0.0
247,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,cephalexin,ACELX,n,1.0
248,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,ciprofloxacin,ACIP,n,0.666666666667
249,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,colistin sulphate,ACOL,n,1.0
250,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,cefotaxime,ACTX,n,1.0
251,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,cefoxitin,ACXT,n,1.0
252,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,ertapenem,AERT,n,1.0
253,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,gentamicin,AGEN,n,0.666666666667
254,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,imipenem,AIMP,n,0.666666666667
255,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,mecillinam,AMEC,n,1.0
256,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,meropenem,AMER,n,0.0
257,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,nitrofurantoin,ANIT,n,1.0
258,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,tazocin,ATAZ,n,0.0
259,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,temocillin,ATEM,n,0.0
260,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,tobramycin,ATOB,n,1.0
261,burkholderia,A_BURKHOLDERIA,burkholderia cepacia,BCEP,trimethoprim,ATRI,n,0.666666666667
262,candida,A_CANDIDA,candida guilliermondii,A_CGUILLIER,amphotericin,AAMPH,,0.0
263,candida,A_CANDIDA,candida guilliermondii,A_CGUILLIER,caspofungin,ACAS,,0.0
