,DATE,MICROORGANISM,ANTIMICROBIAL,SENSITIVITY
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
1,Q2 2011,E. Coli,"B-LACTAM, INCREASED ACTIVITY",resistant
2,Q2 2011,E. Coli,G3 CEPHALOSPORINS,resistant
2,Q2 2011,E. Coli,G3 CEPHALOSPORINS,resistant
2,Q2 2011,E. Coli,G3 CEPHALOSPORINS,resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
3,Q2 2011,E. Coli,"QUINOLONES, SYSTEMIC",resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
4,Q2 2011,E. Coli,SULFA & TRIMETH COMB,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
5,Q3 2011,E. Coli,AMINOPENICILLINS,resistant
