species,year,Antibiotic_1,Antibiotic_2,Antibiotic_3,S1S2S3,S1S2R3,S1R2S3,R1S2S3,S1R2R3,R1S2R3,R1R2S3,R1R2R3,S1S2S3_observed,S1S2R3_observed,S1R2S3_observed,R1S2S3_observed,S1R2R3_observed,R1S2R3_observed,R1R2S3_observed,R1R2R3_observed,S1S2S3_predicted,S1S2R3R_predicted,S1R2S3_predicted,R1S2S3_predicted,S1R2R3_predicted,R1S2R3R_predicted,R1R2S3_predicted,R1R2R3_predicted
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,LEVOFLOXACIN,13353,829,3014,28,795,9,2084,680,0.642218161,0.039871104,0.1449596,0.001346672,0.03823586,0.000432859,0.100230858,0.032704886,0.624281292,0.04921149,0.199697531,0.011454466,0.033835863,0.001637251,0.061108081,0.018774025
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,NITROFURANTOIN,14666,265,3995,35,143,8,2812,176,0.66361991,0.01199095,0.180769231,0.00158371,0.006470588,0.000361991,0.127239819,0.007963801,0.650630673,0.013110071,0.233071819,0.013637997,0.007460533,0.000472469,0.077359044,0.004257393
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,PIPERACILLIN_TAZOBACTAM,14592,5,3920,36,30,0,2343,514,0.680597015,0.000233209,0.182835821,0.001679104,0.001399254,0,0.109281716,0.023973881,0.67499427,0.000542625,0.229755311,0.012016835,0.002944294,0.000103268,0.070047507,0.00959589
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,SULFA_TRIMETHOPRIM,14164,1092,2798,31,1436,11,2026,1049,0.626531605,0.048303623,0.123766975,0.001371257,0.063520149,0.000486575,0.08961826,0.046401557,0.60246603,0.064833972,0.185022098,0.011008179,0.051266439,0.002202781,0.054909736,0.028290765
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,TOBRAMYCIN,14569,99,3617,36,373,1,2464,432,0.674771896,0.004585244,0.167523505,0.001667361,0.017275717,4.63E+09,0.114121625,0.020008337,0.66169859,0.008820878,0.222688571,0.012321882,0.013053013,0.000424327,0.070341588,0.010651151
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,CEFEPIME,56,1,3,10,19,0,0,23,0.5,0.008928571,0.026785714,0.089285714,0.169642857,0,0,0.205357143,0.483223038,0.03463097,0.064004455,0.083326703,0.139432243,0.01555522,0.026942431,0.152884941
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,CEFUROXIME,57,4,1,10,21,5,0,24,0.467213115,0.032786885,0.008196721,0.081967213,0.172131148,0.040983607,0,0.196721311,0.422502829,0.101664536,0.030998355,0.086995409,0.136521455,0.054297419,0.013443704,0.153576294
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,CIPROFLOXACIN,49,11,4,9,18,6,5,20,0.401639344,0.090163934,0.032786885,0.073770492,0.147540984,0.049180328,0.040983607,0.163934426,0.33958556,0.135994312,0.081001337,0.087266047,0.123118636,0.064384069,0.044378941,0.124271098
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,GENTAMICIN,57,6,19,13,3,2,15,10,456,48,152,104,24,16,0.12,0.08,0.425190903,0.049464588,0.175111823,0.125930677,0.037261655,0.027870138,0.113304289,0.045865927
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,LEVOFLOXACIN,52,10,4,8,15,5,5,19,0.440677966,0.084745763,0.033898305,0.06779661,0.127118644,0.042372881,0.042372881,0.161016949,0.381660588,0.127503853,0.08182837,0.084203629,0.10626692,0.057205101,0.044310881,0.117020657
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,NITROFURANTOIN,62,0,15,15,4,0,17,1,0.543859649,0,0.131578947,0.131578947,0.035087719,0,0.149122807,0.00877193,0.513958978,0,0.183416769,0.162970076,0.016524704,0,0.11508749,0.008041983
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,PIPERACILLIN_TAZOBACTAM,62,1,21,11,1,4,16,9,496,8,168,88,8,32,128,72,0.460365181,0.0187026,0.193679193,0.1281211,0.015629967,0.023266659,0.117756386,0.042478913
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,SULFA_TRIMETHOPRIM,51,10,10,10,12,5,10,15,0.414634146,0.081300813,0.081300813,0.081300813,0.097560976,0.040650407,0.081300813,0.12195122,0.362300824,0.107893792,0.124585019,0.102872694,0.086931892,0.051012995,0.076045684,0.0883571
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,AZTREONAM,TOBRAMYCIN,56,6,18,12,4,2,8,17,0.455284553,0.048780488,0.146341463,0.097560976,0.032520325,0.016260163,0.06504065,0.138211382,0.429426992,0.054145705,0.158174712,0.106085652,0.052256963,0.035465737,0.087658665,0.076785573
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,CEFEPIME,4012,0,74,300,53,0,319,53,0.833922261,0,0.015381418,0.062357098,0.011016421,0,0.066306381,0.011016421,0.830191996,0,0.044591988,0.088359826,0.002637559,0,0.029704524,0.004514107
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,CEFTAZIDIME,8106,0,162,644,56,0,513,84,0.847464715,0,0.016936749,0.067328803,0.005854679,0,0.053633037,0.008782018,0.844343246,0,0.038458456,0.089027692,0.001441444,0,0.023807687,0.002921476
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,CEFTRIAXONE,8107,0,162,646,54,0,519,75,0.847746523,0,0.016940291,0.067552023,0.005646764,0,0.054271672,0.007842727,0.844198698,0,0.038435856,0.089447317,0.001351849,0,0.023924307,0.002641973
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,CEFUROXIME,137,1,34,5,55,1,90,71,0.347715736,0.002538071,0.086294416,0.012690355,0.139593909,0.002538071,0.228426396,0.180203046,0.260737253,0.017708015,0.195670438,0.040523124,0.112874439,0.004186761,0.196158395,0.172141576
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,CIPROFLOXACIN,8243,747,172,549,91,192,531,181,0.769942089,0.069773959,0.016065758,0.051279656,0.008499907,0.017933869,0.049598356,0.016906408,0.756129607,0.077979447,0.036570264,0.077769681,0.007178436,0.014936258,0.02155634,0.007879966
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,GENTAMICIN,8702,288,237,622,26,118,633,79,0.812891172,0.026903316,0.022139187,0.05810369,0.002428772,0.011022887,0.059131247,0.007379729,0.801416613,0.031343001,0.041871147,0.086153267,0.002726279,0.007122704,0.025813945,0.003553045
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,LEVOFLOXACIN,6977,586,132,439,56,144,435,116,0.78525605,0.065953855,0.0148565,0.049409116,0.006302757,0.016207091,0.04895892,0.013055712,0.7733145,0.072911491,0.03371279,0.07528264,0.005579954,0.012882566,0.020236856,0.006079204
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,NITROFURANTOIN,8423,202,233,655,20,48,644,40,0.820555285,0.019678519,0.02269849,0.06380906,0.001948368,0.004676084,0.062737457,0.003896736,0.810615847,0.021543084,0.043151958,0.089651829,0.001807566,0.003872316,0.027486171,0.001871229
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,PIPERACILLIN_TAZOBACTAM,8120,8,210,577,8,68,462,134,0.846980286,0.000834463,0.021904663,0.060185668,0.000834463,0.007092938,0.048190258,0.013977261,0.843099979,0.00345413,0.03838092,0.08387883,0.000773237,0.003457342,0.02241277,0.004542793
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,SULFA_TRIMETHOPRIM,7984,1003,179,482,85,257,490,222,0.74602878,0.0937208,0.016725846,0.045038311,0.007942441,0.024014203,0.045785834,0.020743786,0.731541835,0.103032647,0.035245826,0.072387279,0.008716725,0.019603924,0.01997349,0.009498274
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,TOBRAMYCIN,8007,185,203,574,21,84,515,94,0.826913147,0.019105649,0.020964577,0.059279149,0.002168749,0.008674997,0.053185996,0.009707735,0.81773483,0.022934101,0.039114232,0.084405905,0.002479611,0.006041935,0.023488853,0.003800533
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,CEFTAZIDIME,14116,95,1,1989,111,217,7,116,0.847705981,0.00570502,6.01E+09,0.119445112,0.006665866,0.013031468,0.00042037,0.00696613,0.848095053,0.014259486,0.001678054,0.125644657,0.001079782,0.007143035,0.000661239,0.001438693
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,CEFTRIAXONE,14015,202,0,1930,111,274,1,122,0.841489042,0.01212849,0,0.115881117,0.006664665,0.016451516,6.00E+09,0.007325128,0.841846892,0.021737017,0.000589086,0.123035238,0.001343792,0.009626694,0.000230178,0.001591103
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,CEFUROXIME,143,4,0,17,54,8,0,46,0.525735294,0.014705882,0,0.0625,0.198529412,0.029411765,0,0.169117647,0.509444244,0.08885324,0,0.072437664,0.155460786,0.035356355,0,0.13844771
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,CIPROFLOXACIN,13002,1268,21,1730,91,481,21,102,0.77781766,0.075855468,0.001256281,0.103493659,0.005443886,0.028774827,0.001256281,0.006101938,0.771361715,0.085857124,0.00364879,0.111334052,0.00252672,0.022135191,0.001402103,0.001734304
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,GENTAMICIN,13796,474,98,1937,14,274,81,42,0.825317061,0.028356066,0.005862647,0.115877004,0.000837521,0.016391481,0.004845657,0.002512563,0.820431707,0.033526153,0.007752829,0.123075541,0.000812688,0.010619394,0.003096355,0.000685332
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,LEVOFLOXACIN,13000,1268,19,1723,75,478,21,90,0.779656951,0.07604654,0.001139499,0.103334533,0.004498021,0.028667386,0.001259446,0.005397625,0.773257048,0.08552578,0.003271434,0.111156992,0.002134024,0.021845484,0.001301128,0.00150811
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,NITROFURANTOIN,13786,253,83,2063,22,114,95,16,0.838972736,0.015396787,0.00505112,0.125547712,0.001338851,0.006937683,0.005781402,0.00097371,0.835797232,0.017909225,0.007660137,0.129827054,0.000498382,0.0048489,0.003106752,0.000352318
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,PIPERACILLIN_TAZOBACTAM,14184,26,111,1798,1,390,90,33,0.85276258,0.001563158,0.00667348,0.108098359,6.01E+09,0.023447364,0.00541093,0.001984008,0.850939787,0.005966501,0.008472143,0.121348487,0.000151434,0.009266904,0.003226604,0.00062814
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,SULFA_TRIMETHOPRIM,12425,1843,42,1499,70,711,41,82,0.743433256,0.11027344,0.002513014,0.08969066,0.004188356,0.042541734,0.00245318,0.00490636,0.733120285,0.122992939,0.005014871,0.101407296,0.002658392,0.031165484,0.001847067,0.001793666
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFEPIME,TOBRAMYCIN,13929,341,97,1955,15,256,35,88,0.83327351,0.020399617,0.005802824,0.116953817,0.000897344,0.015314669,0.002093802,0.005264417,0.830099547,0.02563867,0.006704003,0.123075663,0.000943461,0.009920466,0.00264629,0.0009719
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,CEFTRIAXONE,18240,113,4,2483,205,89,19,318,0.849517954,0.005262913,0.000186298,0.115644358,0.009547762,0.004145126,0.000884915,0.014810675,0.856260979,0.011161153,0.003044131,0.118705741,0.001916478,0.004726881,0.001431492,0.002753146
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,CEFUROXIME,86,3,0,14,58,10,0,49,0.390909091,0.013636364,0,0.063636364,0.263636364,0.045454545,0,0.222727273,0.332527865,0.10097536,0,0.069671226,0.233859285,0.051568811,0,0.211397453
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,CIPROFLOXACIN,16837,1516,39,2048,171,528,136,201,0.783991432,0.070590427,0.001815981,0.095362265,0.007962377,0.024585584,0.00633265,0.009359285,0.776337873,0.080752413,0.00799406,0.104631326,0.003685044,0.019887543,0.003643043,0.003068698
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,GENTAMICIN,17760,593,183,2265,27,311,237,100,0.826969641,0.027612218,0.00852114,0.105466567,0.001257217,0.014481281,0.011035575,0.004656361,0.821369767,0.032440309,0.01272428,0.11490905,0.001300645,0.009895311,0.006019143,0.001341495
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,LEVOFLOXACIN,16281,1457,37,1981,155,504,132,184,0.785345618,0.070281221,0.001784767,0.095557378,0.007476726,0.024311418,0.006367276,0.008875597,0.777795696,0.080108614,0.007784541,0.104759325,0.003465282,0.019588527,0.003593703,0.002904311
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,NITROFURANTOIN,17617,358,172,2389,28,131,278,40,0.838385761,0.017037072,0.008185409,0.113691524,0.001332508,0.006234236,0.013229905,0.001903583,0.834058113,0.019208281,0.013194805,0.120919926,0.00075556,0.004786948,0.006442246,0.000634121
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,PIPERACILLIN_TAZOBACTAM,18244,33,208,2124,2,433,254,80,0.853400692,0.001543643,0.009729629,0.099354477,9.36E+09,0.020254467,0.011881373,0.003742165,0.850719422,0.005604249,0.013733788,0.114230863,0.000251993,0.008025184,0.00621782,0.001216681
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,SULFA_TRIMETHOPRIM,16066,2284,85,1759,125,816,172,165,0.748230253,0.106371088,0.003958644,0.081920641,0.005821535,0.038002981,0.008010432,0.007684426,0.736871326,0.118679696,0.009465315,0.095445107,0.003883168,0.028370247,0.004146024,0.003139118
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,TOBRAMYCIN,17940,414,181,2313,29,263,185,152,0.835312194,0.019276435,0.00842762,0.107696606,0.001350282,0.012245658,0.008613866,0.007077339,0.831455968,0.023768386,0.011955821,0.115651683,0.001314586,0.008618455,0.005623282,0.00161182
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,CEFUROXIME,91,2,0,11,58,5,1,55,0.408071749,0.00896861,0,0.049327354,0.260089686,0.022421525,0.004484305,0.246636771,0.345326351,0.073457067,0.027002387,0.05201375,0.233075329,0.030468572,0.009635008,0.229021536
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,CIPROFLOXACIN,16803,1448,78,2029,240,476,151,257,0.78218974,0.06740527,0.003630947,0.094451168,0.011172144,0.022158086,0.007029141,0.011963504,0.774468886,0.078279028,0.011273109,0.10310831,0.005251596,0.019110486,0.004588697,0.003919887
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,GENTAMICIN,17679,570,267,2217,51,288,285,123,0.823044693,0.026536313,0.012430168,0.103212291,0.002374302,0.013407821,0.013268156,0.005726257,0.816785371,0.031552275,0.017959268,0.112993146,0.001875667,0.00951021,0.00759565,0.001728412
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,LEVOFLOXACIN,16246,1389,76,1962,224,448,147,243,0.783506149,0.066988184,0.0036653,0.094622619,0.01080299,0.02160598,0.007089462,0.011719315,0.775968495,0.077481504,0.011200523,0.103113726,0.005095359,0.018747384,0.004590517,0.003802492
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,NITROFURANTOIN,17524,348,268,2330,39,120,337,51,0.833801209,0.016558024,0.012751582,0.110862635,0.001855641,0.005709664,0.016034639,0.002426607,0.828722325,0.018765107,0.018960305,0.118796768,0.001078529,0.004618385,0.008252606,0.000805974
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,PIPERACILLIN_TAZOBACTAM,18137,33,315,2049,2,435,327,78,0.848474925,0.001543787,0.014736153,0.095855165,9.36E+08,0.020349925,0.01529753,0.003648952,0.844782971,0.005602157,0.019899387,0.11208435,0.000305935,0.007930092,0.008071218,0.00132389
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,SULFA_TRIMETHOPRIM,16035,2212,122,1733,196,770,195,213,0.74664742,0.102998696,0.00568076,0.080694729,0.009126467,0.035853977,0.009079903,0.009918048,0.734548011,0.116172307,0.012952344,0.093978396,0.005679738,0.027490701,0.005068017,0.004110487
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,TOBRAMYCIN,17856,393,268,2287,50,217,210,198,0.831323618,0.018296941,0.012477303,0.106476093,0.002327855,0.010102891,0.009776991,0.009218306,0.827719242,0.022519603,0.016831737,0.113805414,0.001895465,0.008073847,0.00707665,0.002078042
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFUROXIME,CIPROFLOXACIN,148,30,14,76,62,24,21,72,0.331096197,0.067114094,0.031319911,0.170022371,0.138702461,0.053691275,0.046979866,0.161073826,0.283777098,0.104999352,0.073296654,0.164587066,0.108078407,0.080393016,0.062740386,0.12212802
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFUROXIME,GENTAMICIN,168,12,63,95,13,5,66,27,0.374164811,0.026726058,0.140311804,0.211581292,0.028953229,0.011135857,0.146993318,0.06013363,0.35217732,0.029455879,0.160268772,0.219145259,0.02935946,0.024839378,0.148009822,0.03674411
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFUROXIME,LEVOFLOXACIN,123,25,9,14,34,3,10,37,0.482352941,0.098039216,0.035294118,0.054901961,0.133333333,0.011764706,0.039215686,0.145098039,0.434014949,0.13117844,0.087121346,0.062721574,0.112594192,0.036606656,0.038838096,0.096924748
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFUROXIME,NITROFURANTOIN,100,3,51,89,17,2,66,15,0.29154519,0.008746356,0.148688047,0.259475219,0.049562682,0.005830904,0.192419825,0.043731778,0.273739104,0.016203822,0.174998656,0.260685155,0.033307597,0.014042001,0.193508543,0.033515123
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFUROXIME,PIPERACILLIN_TAZOBACTAM,142,1,60,14,2,5,42,17,0.501766784,0.003533569,0.212014134,0.049469965,0.007067138,0.017667845,0.148409894,0.060070671,0.465700102,0.011130242,0.247954472,0.089378579,0.013041682,0.01098662,0.127356301,0.034452003
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFUROXIME,SULFA_TRIMETHOPRIM,153,25,37,67,39,33,40,53,0.342281879,0.055928412,0.082774049,0.149888143,0.087248322,0.073825503,0.089485459,0.118568233,0.295281998,0.08799395,0.114147864,0.166089454,0.072415165,0.076454324,0.094758364,0.09285888
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CEFUROXIME,TOBRAMYCIN,139,10,53,18,13,4,20,47,0.457236842,0.032894737,0.174342105,0.059210526,0.042763158,0.013157895,0.065789474,0.154605263,0.426122979,0.044041535,0.193386161,0.072844094,0.060681023,0.025200075,0.086682616,0.091041519
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CIPROFLOXACIN,GENTAMICIN,17253,426,1582,2121,238,199,573,232,0.762597242,0.018829562,0.069925743,0.09375,0.010519802,0.008795969,0.025327086,0.010254597,0.752499612,0.025376859,0.080524329,0.103094954,0.007060796,0.007406408,0.020253745,0.003783297
E. coli,2015/16,AMOXICILLIN_CLAVULANATE,CIPROFLOXACIN,LEVOFLOXACIN,16365,7,5,2113,1618,2,3,689,0.786703202,0.000336506,0.000240362,0.101576771,0.077780983,9.61E+09,0.000144217,0.033121815,0.83621041,0.005814491,0.005478245,0.108057118,0.029310459,0.001362788,0.001286082,0.012480407
