species,year,Conditioning_Resistant,Antibiotic_1,Antibiotic_2,S1S2,S1R2,R1S2,R1R2,MIS
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFEPIME,1271,40,3420,183,0.015379652
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFTAZIDIME,1586,91,3863,355,0.023760568
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFTRIAXONE,1609,161,4092,520,0.017273549
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFUROXIME,611,57,1785,276,0.034964346
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CIPROFLOXACIN,1327,888,3613,2351,-0.005297513
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,GENTAMICIN,2055,160,4414,1550,0.137959066
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,LEVOFLOXACIN,1166,696,2965,1810,0.004250247
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,NITROFURANTOIN,1981,109,5234,324,0.004848796
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,PIPERACILLIN_TAZOBACTAM,1947,3,5232,496,0.052578062
E. coli,2015/16,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,TOBRAMYCIN,1597,107,3431,1017,0.123453815
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,CEFAZOLIN,1098,127,2,74,0.198250438
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,CEFEPIME,2127,1,66,64,0.128327581
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,CEFTAZIDIME,1462,11,10,35,0.117095749
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,CEFTRIAXONE,2077,50,15,115,0.213990377
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,CEFUROXIME,1802,140,14,45,0.094229758
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,CIPROFLOXACIN,1724,1037,31,103,0.068666151
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,GENTAMICIN,2193,570,98,36,0.011242312
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,LEVOFLOXACIN,1212,686,15,30,0.027869094
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,NITROFURANTOIN,2410,84,92,17,0.023166077
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,PIPERACILLIN_TAZOBACTAM,2473,159,105,29,0.032725629
E. coli,2015/16,SULFA_TRIMETHOPRIM,AZTREONAM,TOBRAMYCIN,2247,441,71,54,0.049074498
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,CEFEPIME,1378,0,325,163,0.242013632
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,CEFTAZIDIME,1975,1,374,223,0.252492095
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,CEFTRIAXONE,2508,0,453,374,0.31295926
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,CEFUROXIME,969,23,154,176,0.37311757
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,CIPROFLOXACIN,2697,1420,348,567,0.16358682
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,GENTAMICIN,3290,828,658,256,0.047800872
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,LEVOFLOXACIN,1686,820,252,336,0.1511541
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,NITROFURANTOIN,3686,212,766,93,0.033371304
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,PIPERACILLIN_TAZOBACTAM,3691,79,608,194,0.138703395
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFAZOLIN,TOBRAMYCIN,2219,392,352,176,0.106760043
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,CEFTAZIDIME,3988,159,6,151,0.151705959
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,CEFTRIAXONE,4650,365,0,252,0.180090634
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,CEFUROXIME,1822,176,0,124,0.207790807
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,CIPROFLOXACIN,3401,1859,35,217,0.086099512
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,GENTAMICIN,4208,1054,186,66,0.010986721
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,LEVOFLOXACIN,2812,1468,26,125,0.062986075
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,NITROFURANTOIN,4714,232,188,40,0.024906003
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,PIPERACILLIN_TAZOBACTAM,4886,357,168,29,0.012005625
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFEPIME,TOBRAMYCIN,4218,819,102,108,0.05883794
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTAZIDIME,CEFTRIAXONE,5417,146,14,435,0.273892296
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTAZIDIME,CEFUROXIME,1483,119,1,91,0.198426869
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTAZIDIME,CIPROFLOXACIN,3709,1855,72,377,0.136683857
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTAZIDIME,GENTAMICIN,4436,1128,314,135,0.027862041
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTAZIDIME,LEVOFLOXACIN,3528,1775,69,348,0.132208136
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTAZIDIME,NITROFURANTOIN,5011,295,345,76,0.037983392
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTAZIDIME,PIPERACILLIN_TAZOBACTAM,5204,346,383,63,0.023505667
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTAZIDIME,TOBRAMYCIN,3999,687,182,134,0.071080744
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTRIAXONE,CEFUROXIME,1576,132,10,170,0.303489025
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTRIAXONE,CIPROFLOXACIN,4156,2071,148,611,0.179282528
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTRIAXONE,GENTAMICIN,4962,1267,537,222,0.035342031
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTRIAXONE,LEVOFLOXACIN,3499,1701,116,462,0.167263767
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTRIAXONE,NITROFURANTOIN,5523,308,592,115,0.046449247
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTRIAXONE,PIPERACILLIN_TAZOBACTAM,5788,424,615,84,0.019854031
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFTRIAXONE,TOBRAMYCIN,4398,738,322,249,0.112708596
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFUROXIME,CIPROFLOXACIN,1608,900,67,278,0.185022998
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFUROXIME,GENTAMICIN,2031,478,256,89,0.029266736
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFUROXIME,LEVOFLOXACIN,1254,629,53,166,0.156798686
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFUROXIME,NITROFURANTOIN,2237,43,251,38,0.051685632
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFUROXIME,PIPERACILLIN_TAZOBACTAM,2166,106,202,59,0.074755626
E. coli,2015/16,SULFA_TRIMETHOPRIM,CEFUROXIME,TOBRAMYCIN,1827,338,162,106,0.099324211
E. coli,2015/16,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,GENTAMICIN,4364,1032,2913,962,0.055602356
E. coli,2015/16,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,LEVOFLOXACIN,4150,9,30,2792,0.688620653
E. coli,2015/16,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,NITROFURANTOIN,4894,230,3264,279,0.032913704
E. coli,2015/16,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,PIPERACILLIN_TAZOBACTAM,4845,269,2962,272,0.030142563
E. coli,2015/16,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,TOBRAMYCIN,3766,536,1928,936,0.193567419
E. coli,2015/16,SULFA_TRIMETHOPRIM,GENTAMICIN,LEVOFLOXACIN,3379,2080,801,722,0.063684133
E. coli,2015/16,SULFA_TRIMETHOPRIM,GENTAMICIN,NITROFURANTOIN,6448,350,1711,159,0.023391449
E. coli,2015/16,SULFA_TRIMETHOPRIM,GENTAMICIN,PIPERACILLIN_TAZOBACTAM,6177,411,1630,130,0.007723218
E. coli,2015/16,SULFA_TRIMETHOPRIM,GENTAMICIN,TOBRAMYCIN,5271,295,424,1176,0.458992655
E. coli,2015/16,SULFA_TRIMETHOPRIM,LEVOFLOXACIN,NITROFURANTOIN,3842,188,2400,211,0.03284945
E. coli,2015/16,SULFA_TRIMETHOPRIM,LEVOFLOXACIN,PIPERACILLIN_TAZOBACTAM,3857,212,2218,194,0.026722334
E. coli,2015/16,SULFA_TRIMETHOPRIM,LEVOFLOXACIN,TOBRAMYCIN,3172,433,1564,723,0.186183666
E. coli,2015/16,SULFA_TRIMETHOPRIM,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,6936,444,418,38,0.005254175
E. coli,2015/16,SULFA_TRIMETHOPRIM,NITROFURANTOIN,TOBRAMYCIN,5131,1273,291,89,0.007594658
E. coli,2015/16,SULFA_TRIMETHOPRIM,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,5050,1054,299,106,0.021510088
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,AMPICILLIN,741,2657,2,1281,0.140649203
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,1267,2145,10,1283,0.243453715
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,AZTREONAM,699,3,181,12,0.0415777
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFAZOLIN,1601,47,317,241,0.304799363
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFEPIME,2970,34,1148,66,0.036509287
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFTAZIDIME,2829,122,1038,174,0.086941665
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFTRIAXONE,2718,230,978,219,0.088441809
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CEFUROXIME,603,41,148,51,0.145161765
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,CIPROFLOXACIN,2317,1123,793,524,0.05742992
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,GENTAMICIN,2823,617,996,321,0.052127496
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,LEVOFLOXACIN,1919,900,718,427,0.044244869
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,NITROFURANTOIN,3183,152,1174,89,0.020237402
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,PIPERACILLIN_TAZOBACTAM,3280,11,999,275,0.164718653
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMOXICILLIN_CLAVULANATE,TOBRAMYCIN,2971,468,949,367,0.116758632
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,AMPICILLIN_SULBACTAM,1402,1,950,6736,0.410551977
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,AZTREONAM,653,1,2899,186,0.027358375
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFAZOLIN,1115,3,4328,1091,0.09110415
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFEPIME,1124,1,5916,252,0.016656679
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFTAZIDIME,1107,1,5572,578,0.038161073
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFTRIAXONE,1268,1,6262,931,0.05192892
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,CEFUROXIME,464,60,1993,436,0.036795163
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,CIPROFLOXACIN,942,601,5174,2910,-0.015940461
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,GENTAMICIN,1491,53,6201,1889,0.09425777
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,LEVOFLOXACIN,638,361,3595,1993,-0.002422221
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,NITROFURANTOIN,1420,61,7227,415,0.006976288
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,PIPERACILLIN_TAZOBACTAM,1450,1,7343,599,0.030860582
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN,TOBRAMYCIN,1184,38,5065,1239,0.079179543
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,AZTREONAM,839,26,2413,97,0.006446868
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFAZOLIN,1466,99,3600,855,0.09265624
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFEPIME,1750,24,4931,154,0.01218587
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFTAZIDIME,1797,115,4882,464,0.020242544
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFTRIAXONE,1873,206,5349,599,0.00124257
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CEFUROXIME,658,112,1820,388,0.022989083
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,CIPROFLOXACIN,1435,982,4425,2418,-0.04096109
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,GENTAMICIN,2263,153,5124,1721,0.133931415
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,LEVOFLOXACIN,1054,691,3155,1706,-0.035105128
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,NITROFURANTOIN,2203,97,6075,354,0.009848307
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,PIPERACILLIN_TAZOBACTAM,2275,4,6199,590,0.052382938
E. coli,2017/18,SULFA_TRIMETHOPRIM,AMPICILLIN_SULBACTAM,TOBRAMYCIN,1790,115,4163,1137,0.111311928
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,CEFAZOLIN,2718,320,4,147,0.16482859
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,CEFEPIME,2888,1,93,93,0.134834819
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,CEFTAZIDIME,2081,11,8,71,0.153793279
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,CEFTRIAXONE,2685,36,11,175,0.243026467
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,CEFUROXIME,2294,363,10,77,0.099669065
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,CIPROFLOXACIN,2342,1234,37,152,0.086542952
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,GENTAMICIN,2880,696,141,48,0.011568459
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,LEVOFLOXACIN,824,465,15,54,0.080496964
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,NITROFURANTOIN,3119,96,150,17,0.015427774
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,PIPERACILLIN_TAZOBACTAM,3258,195,166,23,0.0139131
E. coli,2017/18,SULFA_TRIMETHOPRIM,AZTREONAM,TOBRAMYCIN,2941,553,116,67,0.042096615
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,CEFEPIME,3500,1,555,145,0.117980741
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,CEFTAZIDIME,3539,0,548,302,0.217675259
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,CEFTRIAXONE,4320,3,579,466,0.271050243
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,CEFUROXIME,1873,250,210,195,0.206473033
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,CIPROFLOXACIN,3658,1785,452,640,0.144579096
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,GENTAMICIN,4354,1089,835,260,0.021053599
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,LEVOFLOXACIN,2035,957,333,406,0.14679908
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,NITROFURANTOIN,4954,237,908,92,0.026415215
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,PIPERACILLIN_TAZOBACTAM,5166,126,772,251,0.132050337
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFAZOLIN,TOBRAMYCIN,3290,616,524,140,0.026919154
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,CEFTAZIDIME,5516,210,6,142,0.110749406
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,CEFTRIAXONE,6393,456,2,249,0.139849846
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,CEFUROXIME,1978,380,1,60,0.082968838
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,CIPROFLOXACIN,4700,2358,30,222,0.070898779
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,GENTAMICIN,5730,1333,188,65,0.009353422
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,LEVOFLOXACIN,3176,1498,23,128,0.063245745
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,NITROFURANTOIN,6317,304,198,33,0.014346661
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,PIPERACILLIN_TAZOBACTAM,6581,456,176,29,0.0092019
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFEPIME,TOBRAMYCIN,5494,1059,108,79,0.03053366
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTAZIDIME,CEFTRIAXONE,6497,162,8,571,0.289825449
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTAZIDIME,CEFUROXIME,1889,343,0,119,0.162206623
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTAZIDIME,CIPROFLOXACIN,4590,2088,108,470,0.144965731
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTAZIDIME,GENTAMICIN,5372,1308,403,176,0.032790056
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTAZIDIME,LEVOFLOXACIN,3758,1656,105,458,0.170775976
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTAZIDIME,NITROFURANTOIN,6096,291,470,78,0.031349145
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTAZIDIME,PIPERACILLIN_TAZOBACTAM,6225,409,499,62,0.014868428
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTAZIDIME,TOBRAMYCIN,4747,846,213,154,0.06694309
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTRIAXONE,CEFUROXIME,1899,340,3,131,0.176161857
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTRIAXONE,CIPROFLOXACIN,5222,2327,176,754,0.192828811
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTRIAXONE,GENTAMICIN,6098,1455,686,246,0.028504029
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTRIAXONE,LEVOFLOXACIN,3729,1546,146,583,0.213033622
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTRIAXONE,NITROFURANTOIN,6793,339,774,107,0.031337517
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTRIAXONE,PIPERACILLIN_TAZOBACTAM,6999,504,789,76,0.007859304
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFTRIAXONE,TOBRAMYCIN,5114,865,389,252,0.092827823
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFUROXIME,CIPROFLOXACIN,1666,812,190,310,0.16387869
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFUROXIME,GENTAMICIN,1982,494,403,97,-0.003078387
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFUROXIME,LEVOFLOXACIN,760,388,73,172,0.209167613
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFUROXIME,NITROFURANTOIN,2171,43,421,33,0.032663792
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFUROXIME,PIPERACILLIN_TAZOBACTAM,2233,107,413,64,0.053260382
E. coli,2017/18,SULFA_TRIMETHOPRIM,CEFUROXIME,TOBRAMYCIN,1992,365,360,106,0.040990346
E. coli,2017/18,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,GENTAMICIN,4992,1219,3216,898,0.021143419
E. coli,2017/18,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,LEVOFLOXACIN,4241,8,21,2582,0.675769851
E. coli,2017/18,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,NITROFURANTOIN,5661,250,3526,275,0.028862831
E. coli,2017/18,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,PIPERACILLIN_TAZOBACTAM,5683,358,3255,260,0.013759802
E. coli,2017/18,SULFA_TRIMETHOPRIM,CIPROFLOXACIN,TOBRAMYCIN,4336,651,2205,930,0.157927507
E. coli,2017/18,SULFA_TRIMETHOPRIM,GENTAMICIN,LEVOFLOXACIN,3435,1997,827,596,0.033794
E. coli,2017/18,SULFA_TRIMETHOPRIM,GENTAMICIN,NITROFURANTOIN,7304,416,1888,109,0.000454884
E. coli,2017/18,SULFA_TRIMETHOPRIM,GENTAMICIN,PIPERACILLIN_TAZOBACTAM,7150,484,1792,136,0.004630348
E. coli,2017/18,SULFA_TRIMETHOPRIM,GENTAMICIN,TOBRAMYCIN,6168,306,375,1276,0.45587173
E. coli,2017/18,SULFA_TRIMETHOPRIM,LEVOFLOXACIN,NITROFURANTOIN,3883,188,2200,191,0.031761583
E. coli,2017/18,SULFA_TRIMETHOPRIM,LEVOFLOXACIN,PIPERACILLIN_TAZOBACTAM,3948,251,2163,181,0.016155738
E. coli,2017/18,SULFA_TRIMETHOPRIM,LEVOFLOXACIN,TOBRAMYCIN,3018,442,1412,588,0.155316897
E. coli,2017/18,SULFA_TRIMETHOPRIM,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,8055,512,421,47,0.008437602
E. coli,2017/18,SULFA_TRIMETHOPRIM,NITROFURANTOIN,TOBRAMYCIN,5845,1387,292,74,0.001915896
E. coli,2017/18,SULFA_TRIMETHOPRIM,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,5772,1187,344,113,0.018299077
E. coli,2015/16,CEFAZOLIN,AMOXICILLIN_CLAVULANATE,AMPICILLIN,5,259,1,707,0.014205075
